Date,Close,120MA,Normalize,bounded_x,cir_leakage,cir_kappa,cir_kappa_sd,cir_kappa_lb,cir_kappa_ub,cir_kappa_z,garch_kappa,garch_kappa_se,garch_kappa_lb,garch_kappa_ub,garch_kappa_z,cir_theta,cir_theta_sd,cir_theta_lb,cir_theta_ub,cir_theta_z,garch_theta,garch_theta_se,garch_theta_lb,garch_theta_ub,garch_theta_z,cir_sigma,cir_sigma_sd,cir_sigma_lb,cir_sigma_ub,cir_sigma_z,garch_sigma,garch_sigma_se,garch_sigma_lb,garch_sigma_ub,garch_sigma_z
1987-06-26,3138.699951,2783.780830883334,1.1274953531467649,1.0376365991416237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-29,3152.0,2788.6449971416682,1.1302980491352492,1.046718534633068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-06-30,3178.199951,2793.962495916668,1.1375241992850258,1.0705220792383716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-01,3164.0,2799.059163400001,1.1303798223960038,1.0469847573766349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-02,3229.199951,2804.4366638083347,1.1514611803052277,1.1180963515501745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-03,3226.0,2809.594162991668,1.1482085357712095,1.1067891797233844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-06,3220.699951,2814.739162175001,1.1442267881444852,1.09311924814403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-07,3236.399902,2820.361661766668,1.1475123725702352,1.1043856283225248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-08,3251.399902,2825.665828433334,1.1506668160412694,1.1153230801456873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-09,3226.0,2830.959161358334,1.1395431075212403,1.077275066427459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-10,3207.199951,2836.200828025001,1.1308084812997343,1.048381469026143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-13,3216.100098,2841.675828025001,1.131761781650945,1.0514946461417505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-14,3253.399902,2847.5991597250004,1.1425062726574862,1.0872697934895772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-15,3262.300049,2854.280826800001,1.1429499222252208,1.088774854343852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-16,3305.800049,2861.413328025001,1.1553032260745506,1.1316192788772097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-17,3342.100098,2868.1483296583338,1.165246602987972,1.1674906470759123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-20,3386.100098,2875.224997958335,1.1776817815664624,1.2142416597393404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-21,3353.800049,2882.344999183335,1.1635664883802057,1.1613384677377572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-22,3380.399902,2889.811665850001,1.1697647780813765,1.1842253721342155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-23,3366.8000490000004,2896.8349995916687,1.1622339724128496,1.1564858832506228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-24,3343.600098,2903.4208333333354,1.1516071179255496,1.1186066838959343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-27,3346.899902,2909.7683329250012,1.1502289938785533,1.1137978439423697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-28,3337.5,2915.8608337416686,1.1446019512931551,1.0943992945234309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-29,3389.699951,2922.136665850002,1.1600073297783255,1.148429367135558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987-07-30,3419.3000490000004,2928.3608337416686,1.1676498365917023,1.17635703174081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
